Symbol	Opening Direction	Closing Time (UTC+3)	Entry price	Closing Price	Closing Quantity	Net USD	Balance USD
XAUUSD	Sell	25 May 2026 02:17:14.439	4576.69	4576.19	0.1 Lots	4.60	25 499.24
XAUUSD	Buy	25 May 2026 02:31:28.536	4577.05	4577.87	0.1 Lots	7.80	25 507.04
US30	Buy	25 May 2026 11:02:53.103	50993	50967	0.1 Lots	-26.00	25 411.07
US30	Buy	25 May 2026 11:17:57.381	50980	50989	0.1 Lots	9.00	25 420.07
NAS100	Buy	25 May 2026 01:30:28.673	29697.52	29704.11	0.1 Lots	6.59	25 449.24
NAS100	Buy	25 May 2026 10:13:10.512	29908.73	29873.26	0.1 Lots	-35.47	25 471.57
NAS100	Buy	25 May 2026 10:13:10.512	29889.02	29873.26	0.1 Lots	-15.76	25 455.81
NAS100	Sell	25 May 2026 10:31:00.768	29815.74	29859.52	0.1 Lots	-43.78	25 412.03
NAS100	Buy	25 May 2026 10:39:31.081	29851.60	29876.64	0.1 Lots	25.04	25 437.07
BTCUSD	Buy	25 May 2026 00:36:26.651	76387.64	76129.16	0.1 Lots	-25.85	25 528.88
BTCUSD	Buy	25 May 2026 00:36:26.651	76991.45	76129.16	0.1 Lots	-86.23	25 442.65
BTCUSD	Buy	25 May 2026 01:36:06.700	76346.06	76800.07	0.1 Lots	45.40	25 494.64
